"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"11. ","Waterline","(617) 227-3838","https://www.yellowpages.com/boston-ma/mip/waterline-471102654","Restaurants,Seafood Restaurants,Latin American Restaurants","http://www.marriott.com/hotel-restaurants/boslw-boston-marriott-long-wharf/waterline/71533/home-page.mi","","296 State St","Boston","MA","02109","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"12. ","Citizen Public House & Oyster Bar","(617) 450-9000","https://www.yellowpages.com/boston-ma/mip/citizen-public-house-oyster-bar-458900906","Restaurants,American Restaurants,Bars","http://www.citizenpub.com","","1310 Boylston St","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"13. ","21st Amendment","(617) 227-7100","https://www.yellowpages.com/boston-ma/mip/21st-amendment-3466595","Restaurants,American Restaurants,Bars","http://www.21stboston.com","","150 Bowdoin St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"14. ","Woody's Grill & Tap","(617) 375-9663","https://www.yellowpages.com/boston-ma/mip/woodys-grill-tap-671276","Restaurants,American Restaurants,Take Out Restaurants","http://www.woodysfenway.com","","58 Hemenway St","Boston","MA","02115","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"15. ","Blackjack Pasta Bar","(617) 266-1313","https://www.yellowpages.com/boston-ma/mip/blackjack-pasta-bar-7016994","Restaurants,Italian Restaurants,Mediterranean Restaurants","http://www.blackjack-pasta.com","","52 Queensberry St","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"16. ","Atlantic Fish Co","(617) 267-4000","https://www.yellowpages.com/boston-ma/mip/atlantic-fish-co-8673013","Restaurants,Seafood Restaurants,Bars","http://www.atlanticfish.com","","761 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"17. ","The Daily Catch","(617) 523-8567","https://www.yellowpages.com/boston-ma/mip/the-daily-catch-10766579","Restaurants,Italian Restaurants,American Restaurants","http://thedailycatch.com/northend.html","","323 Hanover St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"18. ","Slate Bar & Grill","(857) 263-7372","https://www.yellowpages.com/boston-ma/mip/slate-bar-grill-469828926","Restaurants,American Restaurants,Bars","http://www.slatebarandgrill.co","","109 High St","Boston","MA","02110","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"19. ","Seapoint Restaurant","(617) 268-0786","https://www.yellowpages.com/boston-ma/mip/seapoint-restaurant-11800816","Restaurants,Seafood Restaurants,Take Out Restaurants","","","367 E 8th St","Boston","MA","02127","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"20. ","Terramia Ristorante","(617) 523-3112","https://www.yellowpages.com/boston-ma/mip/terramia-ristorante-13507328","Restaurants,Italian Restaurants,Caterers","http://www.terramiaristorante.com","","98 Salem St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"21. ","Toscano Restaurant","(617) 723-4090","https://www.yellowpages.com/boston-ma/mip/toscano-restaurant-19776374","Restaurants,Italian Restaurants,Family Style Restaurants","http://www.toscanoboston.com","","47 Charles St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"22. ","The Salty Pig","(617) 536-6200","https://www.yellowpages.com/boston-ma/mip/the-salty-pig-7520061","Restaurants,American Restaurants,Pizza","http://www.thesaltypig.com","","130 Dartmouth St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"23. ","The Top of the Hub","(617) 536-1775","https://www.yellowpages.com/boston-ma/mip/the-top-of-the-hub-465512780","Restaurants,American Restaurants,Fine Dining Restaurants","http://topofthehub.net","","800 Boylston St Fl 52","Boston","MA","02199","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"24. ","O Ya","(617) 654-9900","https://www.yellowpages.com/boston-ma/mip/o-ya-2586128","Restaurants,Asian Restaurants,Japanese Restaurants","https://www.o-ya.restaurant","","9 East St","Boston","MA","02111","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"25. ","Neptune Oyster","(617) 742-3474","https://www.yellowpages.com/boston-ma/mip/neptune-oyster-3678122","Restaurants,Seafood Restaurants,American Restaurants","http://www.neptuneoyster.com","","63 Salem St Ste 1","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"26. ","Ma Maison","(617) 725-8855","https://www.yellowpages.com/boston-ma/mip/ma-maison-11401474","Restaurants,French Restaurants,Caterers","http://www.mamaisonboston.com","","272 Cambridge St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"27. ","Prezza","(617) 227-1577","https://www.yellowpages.com/boston-ma/mip/prezza-3573600","Restaurants,Italian Restaurants,Mediterranean Restaurants","http://www.prezza.com","","24 Fleet St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"28. ","Pagliuca's Restaurant Inc","(617) 367-1504","https://www.yellowpages.com/boston-ma/mip/pagliucas-restaurant-inc-3748766","Restaurants,Italian Restaurants,Family Style Restaurants","http://www.pagliucasrestaurant.com","","14 Parmenter St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"29. ","Barking Crab","(617) 426-2722","https://www.yellowpages.com/boston-ma/mip/barking-crab-9021590","Restaurants,Seafood Restaurants,Caterers","http://barkingcrab.com","","88 Sleeper St","Boston","MA","02210","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
"30. ","Saus","(617) 248-8835","https://www.yellowpages.com/boston-ma/mip/saus-457227163","Restaurants,American Restaurants,Caterers","http://www.sausboston.com","","33 Union St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Boston,MA"
